epoch,loss,test_acc
1,3.4333236650987105,26.516231195566114
2,2.6161835193634033,36.39746634996041
3,2.2414131381294946,41.98733174980206
4,1.9724852605299517,43.88756927949327
5,1.751111388206482,51.037212984956454
6,1.5655280134894631,51.76563737133809
7,1.4126611948013306,55.55027711797308
8,1.31685763055628,59.287410926365794
9,1.2207522175528787,59.12905779889153
10,1.164795913479545,60.15043547110056
11,1.1155271367593245,57.7513855898654
12,1.152568687092174,60.69675376088678
13,1.0716514479030261,63.634204275534444
14,0.9884006164290688,61.54394299287411
15,0.9462966431270946,65.45526524148852
16,0.9271497834812511,65.63737133808392
17,0.842142641544342,65.6769596199525
18,0.8602143363519148,65.39984164687253
19,0.8063109462911432,65.34441805225653
20,0.7919413555752147,67.37133808392716
